taxon_id,actual_taxa,read1,read2,run,te
VB0227,Asia|ISR|ERR1879626|UNK|1970-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/5afc979b-e861-4030-8fee-8f8d4722493a/call-fastq_dl_sra/ERR1879626_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/5afc979b-e861-4030-8fee-8f8d4722493a/call-fastq_dl_sra/ERR1879626_2.fastq.gz,ERR1879626,UNK
VB0092,Asia|CHN|ERR579088|UNK|1984-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/e0869e04-50d0-4c34-92a7-74237a9ee820/call-fastq_dl_sra/ERR579088_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/e0869e04-50d0-4c34-92a7-74237a9ee820/call-fastq_dl_sra/ERR579088_2.fastq.gz,ERR579088,UNK
VB0178,Africa|CIV|ERR976425|T1|1973-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/2a268031-a490-4e6c-99c9-017a08ea3b7a/call-fastq_dl_sra/ERR976425_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/2a268031-a490-4e6c-99c9-017a08ea3b7a/call-fastq_dl_sra/ERR976425_2.fastq.gz,ERR976425,T1
VB0224,Asia|PHL|ERR1879564|UNK|1961-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/2db51579-2944-47d9-90a1-21caba88b7b5/call-fastq_dl_sra/ERR1879564_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/2db51579-2944-47d9-90a1-21caba88b7b5/call-fastq_dl_sra/ERR1879564_2.fastq.gz,ERR1879564,UNK
VB0181,Africa|SLE|ERR976475|T1|1970-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/3b21a2c9-daac-4a5c-8b18-6db56f953f82/call-fastq_dl_sra/ERR976475_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/3b21a2c9-daac-4a5c-8b18-6db56f953f82/call-fastq_dl_sra/ERR976475_2.fastq.gz,ERR976475,T1
VB0183,Africa|TUN|ERR976455|T1|1971-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/1d21e211-467e-4714-a3d1-f242750e7652/call-fastq_dl_sra/ERR976455_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/1d21e211-467e-4714-a3d1-f242750e7652/call-fastq_dl_sra/ERR976455_2.fastq.gz,ERR976455,T1
VB0230,Africa|BDI|ERR1879636|T5|1997-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/d8c4876f-17fb-4ac0-8934-baf202fa5af3/call-fastq_dl_sra/ERR1879636_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/d8c4876f-17fb-4ac0-8934-baf202fa5af3/call-fastq_dl_sra/ERR1879636_2.fastq.gz,ERR1879636,T5
VB0190,Africa|BDI|ERR976530|T5|1993-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/cb7ef230-d884-4cfa-9835-4af9b7218314/call-fastq_dl_sra/ERR976530_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/cb7ef230-d884-4cfa-9835-4af9b7218314/call-fastq_dl_sra/ERR976530_2.fastq.gz,ERR976530,T5
VB0137,America|PER|ERR025389|T2|1991-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/11a3c303-6a02-4952-9615-c08e2dc10a89/call-fastq_dl_sra/ERR025389_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/58d16b77-0e24-4c83-93d5-0210dacee90d/fetch_sra_to_fastq/11a3c303-6a02-4952-9615-c08e2dc10a89/call-fastq_dl_sra/ERR025389_2.fastq.gz,ERR025389,T2
VB0094,America|BOL|ERR976496|T2|1992-01-01,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/52b57c92-c81a-47a4-ae18-363513e74ca4/call-fastq_dl_sra/ERR976496_1.fastq.gz,gs://fc-13f38cf5-2b91-4a88-b021-fb920d10585c/submissions/a052c2e9-f488-4411-a63a-272c16f3ff10/fetch_sra_to_fastq/52b57c92-c81a-47a4-ae18-363513e74ca4/call-fastq_dl_sra/ERR976496_2.fastq.gz,ERR976496,T2
